org1,org2,org3,org4,org5,org6,branch,fiscal_year,depth,amount_usd,prior_secondary_usd,prior_tertiary_usd,snapshot_date,source_url
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TREASURER/COLLECTOR,STATE REV-CHERRY,CSI CHARTER SCHOOL STATE AID,CSI CHARTER SCHOOL STATE AID,revenue,FY2026,6,501817.0,418911.0,501817.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,HARBOR ENTERPRISE OPERATING,HARBOR,LICENSES AND PERMITS,MOORING PERMIT,HM  -MOORING PERMIT,revenue,FY2026,6,437000.0,516258.1,437000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,HARBOR ENTERPRISE OPERATING,HARBOR,MISC RECURRING,EXPENDITURE REIMB.,EXPENDITURE REIMBURSEMENTS,revenue,FY2026,6,372476.0,0,372476.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TOWN ACCOUNTANT,TRANSFERS IN,TRANSFER FROM ELECTRIC FUND,TRANSFER FROM ELECTRIC FUND,revenue,FY2026,6,360000.0,368888.0,360000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
OTHER FUNDS,WORKERS COMPENSATION FUND,WORKERS COMPENSATION,TRANSFERS IN,TRANSFER FROM GENERAL FUND,TRANSFER FROM GENERAL FUND,revenue,FY2026,6,360000.0,360000.0,360000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
OTHER FUNDS,WATER LEAD SERVICE GRANT,WATER,STATE GRANTS,STATE REVENUE,STATE REVENUE,revenue,FY2026,6,356425.0,0,356425.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,WASTE COLLECTION,CHRG SVC OTHER,FACILITY STICKERS,TRANSFER STA-FACILITY STICKERS,revenue,FY2026,6,350000.0,-18940.55,350000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TREASURER/COLLECTOR,OTHER EXCISE,MEALS TAX,MEALS TAX,revenue,FY2026,6,300000.0,228464.69,300000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TREASURER/COLLECTOR,OTHER EXCISE,ROOMS TAX,ROOMS TAX,revenue,FY2026,6,300000.0,421543.41,300000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,SELECT BOARD,RENTALS,PUBLIC BUILDINGS RENT,SEL-PUBLIC BLDGS RENT,revenue,FY2026,6,300000.0,210750.0,300000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
OTHER FUNDS,OPEB TRUST FUND,OTHER GOVERNMENTAL,TRANSFERS IN,TRANSFER FROM GENERAL FUND,TRANSFER FROM GENERAL FUND,revenue,FY2026,6,250000.0,250000.0,0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TREASURER/COLLECTOR,PNLTY/INT ON TAX/EXC,PEN & INT - PROPERTY TAX,PEN & INT - PROPERTY TAX,revenue,FY2026,6,230000.0,196535.32,230000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
