org1,org2,org3,org4,org5,org6,fiscal_year,depth,amount_usd,snapshot_date,source_url
EDUCATION,MIDDLE SCHOOL,UNDEFINED,SUPPLIES AND MATL,EDUCATION,EDUCATION,FY2026,6,37212.94,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,FINANCE,EXPENSES,CAPITAL,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,34778.61,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,VETERANS SERVICES,VETERANS BENEFITS,OTHER EXPENSE,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,34552.11,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,EDUCATION,ATM25A7-SCH-7D VAN,CAPITAL,EDUCATION,EDUCATION,FY2026,6,34385.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,EDUCATION,UNDEFINED,OTHER EXPENSE,EDUCATION,EDUCATION,FY2026,6,34164.21,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,TREASURER/COLLECTOR,UNDEFINED,MOTOR VEHICLE EXCISE,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,33162.88,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,PUBLIC WORKS,PW MAINTAIN STREETS & SIDEWALK,SUPPLIES AND MATL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,32867.6,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,EDUCATION,ATM25A7-SCH-LARGE BUS,CAPITAL,EDUCATION,EDUCATION,FY2026,6,32206.92,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,ABBOT LIBRARY,UNDEFINED,SUPPLIES AND MATL,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,31590.73,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,EXPENSES,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,31538.88,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,ABBOT LIBRARY,UNDEFINED,CAPITAL,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,30852.86,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
