org1,org2,org3,org4,org5,org6,fiscal_year,depth,amount_usd,snapshot_date,source_url
GENERAL GOVERNMENT,FINANCE,EXPENSES,SUPPLIES AND MATL,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,7504.52,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,COMMUNITY DEVELOP AND PLANNING,EXPENSES,CONTRACTED SERVICES,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,7256.4,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,EDUCATION,UNDEFINED,RENTALS,EDUCATION,EDUCATION,FY2026,6,7210.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,ARTS COUNCIL,UNDEFINED,CONTRACTED SERVICES,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,6668.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,ART 11 2024 WATER CONSTRUCTION,PROFESSIONAL SALARY,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,6565.56,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,SEWER,A16 2023 SEWER CONSTRUCTION,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,6543.6,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,PUBLIC WORKS,EXPENSES,OTHER EXPENSE,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,6523.44,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,GLOVER SCHOOL,UNDEFINED,UNDEFINED,EDUCATION,EDUCATION,FY2026,6,6115.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,FINANCE COMMITTEE,EXPENSES,SUPPLIES AND MATL,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,6000.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,VILLAGE SCHOOL,UNDEFINED,CONTRACTED SERVICES,EDUCATION,EDUCATION,FY2026,6,5771.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,SELECT BOARD,EXPENSES,SUPPLIES AND MATL,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,5665.52,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,BUILDING INSPECTION,SALARIES,OTHER EXPENSE,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,5520.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
OTHER,OTHER GOVERNMENTAL,TRAINING,PROFESSIONAL SALARY,OTHER,OTHER,FY2026,6,5411.25,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,PUBLIC WORKS,PW MAINTAIN STREETS & SIDEWALK,OTHER EXPENSE,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,5350.86,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,HISTORICAL COMMISSION,UNDEFINED,OTHER EXPENSE,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,5319.27,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,TOWN CLERK,EXPENSES,CONTRACTED SERVICES,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,5188.47,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,ELECTION & REGISTRATION,EXPENSES,SUPPLIES AND MATL,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,5156.79,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,COUNCIL ON AGING,EXPENSES,CONTRACTED SERVICES,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,5154.72,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,PLANNING BOARD,EXPENSES,CONTRACTED SERVICES,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,4967.53,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,POLICE,UNDEFINED,PROFESSIONAL SALARY,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,4772.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,HEALTH,EXPENSES,SUPPLIES AND MATL,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,4618.49,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,PARKS & RECREATION,UNDEFINED,OFU,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,4568.24,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,GLOVER SCHOOL,UNDEFINED,OTHER EXPENSE,EDUCATION,EDUCATION,FY2026,6,3855.25,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,VILLAGE SCHOOL,UNDEFINED,CAPITAL,EDUCATION,EDUCATION,FY2026,6,3741.37,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,BUILDING INSPECTION,EXPENSES,SUPPLIES AND MATL,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,3626.15,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,ASSESSORS,EXPENSES,OTHER EXPENSE,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,3576.27,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,FIRE,UNDEFINED,MISC RECURRING,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,3553.69,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,EDUCATION,UNDEFINED,CHRG SVC OTHER,EDUCATION,EDUCATION,FY2026,6,3401.67,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,BROWN SCHOOL,UNDEFINED,UNDEFINED,EDUCATION,EDUCATION,FY2026,6,3239.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,LIGHT,UNDEFINED,INVESTMENT INCOME,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,3216.56,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,PARKS & RECREATION,EXPENSES,OTHER EXPENSE,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,3035.7,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,BUILDING INSPECTION,EXPENSES,OTHER EXPENSE,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,2832.9,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,MIDDLE SCHOOL,UNDEFINED,UNDEFINED,EDUCATION,EDUCATION,FY2026,6,2695.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,DISTRICTWIDE,UNDEFINED,OTHER SALARIES,EDUCATION,EDUCATION,FY2026,6,2688.13,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,COUNCIL ON AGING,EXPENSES,SUPPLIES AND MATL,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,2683.77,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,SELECT BOARD,SELECT BD EXP FY19,CONTRACTED SERVICES,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,2541.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,EXPENSES,GOVERNMENTAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,2524.29,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,TOWN CLERK,EXPENSES,SUPPLIES AND MATL,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,2354.97,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,HEALTH,SALARIES,PROFESSIONAL SALARY,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,2192.7,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,OTHER GOVERNMENTAL,UNDEFINED,OTHER EXPENSE,EDUCATION,EDUCATION,FY2026,6,2170.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,COMMUNITY DEVELOP AND PLANNING,EXPENSES,SUPPLIES AND MATL,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,2160.05,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,PARKS & RECREATION,PARK FACILITY,SUPPLIES AND MATL,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,2155.07,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,BROWN SCHOOL,UNDEFINED,OTHER EXPENSE,EDUCATION,EDUCATION,FY2026,6,2009.72,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,CEMETERY,UNDEFINED,MISC RECURRING,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,2000.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,CEMETERY,UNDEFINED,CHRG SVC OTHER,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,2000.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,SALARIES,PROFESSIONAL SALARY,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,1975.94,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
OTHER,OTHER GOVERNMENTAL,SALARY RESERVE,PROFESSIONAL SALARY,OTHER,OTHER,FY2026,6,1949.8,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,PUBLIC BUILDINGS,ART 8 2024 CAPITAL IMPROVEMENT,CAPITAL,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,1900.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,ART 14 2022 WATER CONSTRUCTION,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,1880.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,ART 14 2022 WATER CONSTRUCTION,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,1770.2,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,PUBLIC WORKS,UNDEFINED,PROFESSIONAL SALARY,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,1750.88,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,ASSESSORS,EXPENSES,SUPPLIES AND MATL,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,1530.95,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,SEWER,EXPENSES,GOVERNMENTAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,1497.46,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,PARKS & RECREATION,UNDEFINED,MISC RECURRING,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,1386.84,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,FIRE,UNDEFINED,SUPPLIES AND MATL,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,1368.68,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,POLICE,UNDEFINED,OTHER EXPENSE,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,1365.7,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,PUBLIC WORKS,PW MAINTAIN STREETS & SIDEWALK,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,1304.07,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,UNASSIGNED,UNDEFINED,STATE GRANTS,EDUCATION,EDUCATION,FY2026,6,1253.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,DRAINS,A15 20 DRAIN CONSTRUCTION,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,1231.74,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,BUILDING INSPECTION,EXPENSES,PROFESSIONAL SALARY,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,1155.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WASTE COLLECTION,EXPENSES,OTHER EXPENSE,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,1132.5,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,EDUCATION,UNDEFINED,OTHER DEPT REVENUE,EDUCATION,EDUCATION,FY2026,6,1080.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,SNOW REMOVAL,EXPENSES,OTHER EXPENSE,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,1000.48,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,LIGHT,SALARIES,PROFESSIONAL SALARY,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,990.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,VETERANS SERVICES,EXPENSES,CONTRACTED SERVICES,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,503.86,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,SEWER,A11 2024 SEWER CONSTRUCTION,PROFESSIONAL SALARY,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,500.24,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,EDUCATION,UNDEFINED,FEES,EDUCATION,EDUCATION,FY2026,6,500.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,ELECTION & REGISTRATION,SALARIES,PROFESSIONAL SALARY,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,495.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,VETERANS SERVICES,EXPENSES,SUPPLIES AND MATL,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,488.2,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,FINANCE COMMITTEE,EXPENSES,OTHER EXPENSE,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,442.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,HEALTH,EXPENSES,OTHER EXPENSE,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,406.9,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,COUNCIL ON AGING,SALARIES,PROFESSIONAL SALARY,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,350.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,SELECT BOARD,SELECT BD EXP FY18,CONTRACTED SERVICES,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,336.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,HARBOR,UNDEFINED,LICENSES AND PERMITS,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,315.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,HEALTH,UNDEFINED,MISC RECURRING,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,295.54,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,HARBOR,UNDEFINED,OTHER EXCISE,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,250.18,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,VETERANS SERVICES,EXPENSES,OTHER EXPENSE,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,250.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,MEMORIAL & VETERANS DAY,EXPENSES,SUPPLIES AND MATL,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,212.5,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,BROWN SCHOOL,UNDEFINED,CONTRACTED SERVICES,EDUCATION,EDUCATION,FY2026,6,200.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,HUMAN RESOURCES,EXPENSES,OTHER EXPENSE,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,197.2,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,SEWER,SALARIES,PROFESSIONAL SALARY,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,169.01,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,SELECT BOARD,UNDEFINED,SUPPLIES AND MATL,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,165.34,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,HIGH SCHOOL,UNDEFINED,CAPITAL,EDUCATION,EDUCATION,FY2026,6,156.55,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,GLOVER SCHOOL,UNDEFINED,CONTRACTED SERVICES,EDUCATION,EDUCATION,FY2026,6,135.24,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,ENGINEERING,EXPENSES,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,121.7,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,HUMAN RESOURCES,EXPENSES,SUPPLIES AND MATL,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,120.78,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,DISTRICTWIDE,UNDEFINED,CHRG SVC OTHER,EDUCATION,EDUCATION,FY2026,6,100.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,PUBLIC BUILDINGS,EXPENSES,OTHER EXPENSE,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,81.9,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,CEMETERY,EXPENSES,OTHER EXPENSE,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,59.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,TREASURER/COLLECTOR,UNDEFINED,INVESTMENT INCOME,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,47.78,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,HARBOR,UNDEFINED,MISC RECURRING,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,45.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,PUBLIC WORKS,ARTICLE WALLS & FENCES,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,42.31,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,CONSERVATION COMMISSION,UNDEFINED,CONTRACTED SERVICES,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,41.71,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WASTE COLLECTION,SALARIES,PROFESSIONAL SALARY,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,23.45,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
