dor_code,municipality,fiscal_year,general_government,public_safety,education,public_works,human_services,culture_recreation,fixed_costs,intergov_assessments,other,debt_service,total_expenditures
344,Winchester,2020,"7,341,108","10,238,406","53,407,207","7,906,975","758,222","2,417,588","18,179,565","590,892","28,500","12,647,079","113,515,542"
010,Arlington,2019,"6,136,498","16,260,516","65,792,139","9,077,803","1,218,442","3,894,551","30,053,881","3,272,899","33,028","16,582,686","152,322,443"
046,Brookline,2019,"12,444,751","34,584,040","116,389,275","13,321,964","2,318,926","7,353,301","61,594,549","6,656,579",0,"15,631,274","270,294,659"
065,Cohasset,2019,"3,461,746","5,508,610","19,657,381","3,325,697","540,671","751,559","8,555,408","527,772",0,"2,664,092","44,992,936"
082,Duxbury,2019,"4,556,597","9,580,149","35,809,182","3,791,468","742,145","2,717,821","12,599,004","502,414",0,"8,375,286","78,674,066"
100,Framingham,2019,"11,709,501","29,814,957","141,637,054","13,910,310","2,078,474","6,674,439","50,828,106","7,860,257","128,982","14,195,484","278,837,564"
131,Hingham,2019,"4,714,009","13,659,957","53,089,470","6,300,216","878,779","1,942,355","13,648,643","976,062","6,410","8,646,544","103,862,445"
155,Lexington,2019,"17,110,992","15,768,798","108,356,601","7,872,922","1,497,059","3,915,094","33,626,881","923,294","109,084","24,864,253","214,044,978"
168,Marblehead,2019,"2,399,378","8,683,264","39,860,882","5,084,798","666,454","2,059,878","15,162,537","2,995,396",0,"6,734,427","83,647,014"
178,Melrose,2019,"3,718,827","9,882,410","32,463,997","9,072,056","1,470,738","1,621,639","18,381,091","3,631,893","989,830","5,696,883","86,929,364"
198,Natick,2019,"12,100,299","17,625,855","67,522,977","7,273,669","1,884,459","3,033,627","25,053,777","1,507,563",0,"9,386,226","145,388,452"
199,Needham,2019,"8,315,446","17,071,454","78,619,687","5,486,429","1,747,253","2,485,696","33,836,747","1,389,486","556,798","9,996,903","159,505,899"
284,Stoneham,2019,"2,728,209","8,393,370","30,354,467","2,671,179","597,535","1,472,984","15,735,022","1,814,909","195,387","4,488,541","68,451,603"
291,Swampscott,2019,"3,391,766","8,005,306","29,446,235","1,439,155","1,631,529","760,649","11,069,158","874,031","77,410","3,307,292","60,002,531"
317,Wellesley,2019,"14,877,603","12,638,301","75,717,428","9,170,021","1,372,282","2,973,495","24,948,511","1,262,764","79,326","16,704,655","159,744,386"
344,Winchester,2019,"7,798,467","9,653,478","49,974,412","8,452,015","647,889","1,959,049","17,500,519","573,680","27,900","12,993,748","109,581,157"
010,Arlington,2018,"3,895,893","15,776,013","65,109,595","9,972,972","1,099,350","2,818,832","29,369,586","3,173,429","32,455","10,834,276","142,082,401"
046,Brookline,2018,"11,723,637","32,252,448","110,623,908","13,330,596","2,163,588","7,234,336","60,824,387","6,480,817",0,"12,577,453","257,211,170"
065,Cohasset,2018,"2,895,408","5,373,334","18,934,712","2,929,567","497,775","756,485","8,179,954","431,545",0,"3,084,342","43,083,122"
082,Duxbury,2018,"3,770,149","9,055,201","34,716,640","4,168,291","860,318","2,602,589","12,849,251","526,890","14,637","8,542,607","77,106,573"
100,Framingham,2018,"11,226,396","29,335,412","137,018,602","14,277,437","1,900,805","6,603,049","48,496,900","7,439,538","54,544","13,866,873","270,219,556"
131,Hingham,2018,"4,687,692","13,225,588","50,508,509","6,349,000","856,425","1,895,562","13,074,128","909,520","91,348","9,082,883","100,680,655"
155,Lexington,2018,"16,992,483","15,836,707","100,996,855","7,706,325","1,413,590","3,617,377","32,645,444","813,626","-12,657","20,334,965","200,344,715"
168,Marblehead,2018,"2,607,205","8,355,696","37,558,772","5,002,841","652,684","1,954,734","14,489,427","2,872,858",0,"7,156,767","80,650,984"
178,Melrose,2018,"3,842,020","9,716,051","30,376,222","9,342,940","1,488,517","1,631,784","18,133,779","3,498,222","973,942","5,525,305","84,528,782"
198,Natick,2018,"11,828,090","16,669,582","63,757,397","7,517,781","1,916,301","2,725,144","24,524,443","1,467,927",0,"10,242,228","140,648,893"
199,Needham,2018,"7,822,606","16,262,900","74,311,204","5,669,310","1,581,104","2,170,297","31,136,752","1,333,038","521,244","10,593,452","151,401,907"
284,Stoneham,2018,"2,346,342","8,181,008","29,149,124","2,456,348","599,467","1,328,409","15,429,835","1,528,894","75,100","4,487,738","65,582,265"
291,Swampscott,2018,"3,065,196","7,744,833","28,612,235","1,409,691","1,565,515","791,933","11,322,719","825,701","42,011","3,320,775","58,700,609"
317,Wellesley,2018,"13,083,057","12,162,882","73,313,366","9,687,499","1,327,301","2,934,890","24,636,416","1,239,256","143,786","16,775,220","155,303,673"
344,Winchester,2018,"6,835,305","9,886,779","48,268,284","8,455,060","629,696","1,907,025","19,056,060","552,349","30,250","12,401,211","108,022,019"
010,Arlington,2017,"5,360,907","15,800,268","63,705,295","8,346,513","978,872","3,489,773","26,031,499","3,118,634","235,279","9,248,828","136,315,868"
046,Brookline,2017,"11,619,881","32,523,188","106,968,328","12,311,822","2,202,722","7,165,225","56,010,566","6,423,591",0,"10,255,514","245,480,837"
065,Cohasset,2017,"3,029,723","5,013,937","18,200,849","2,887,769","507,367","730,276","7,440,095","401,673",0,"3,986,678","42,198,367"
082,Duxbury,2017,"3,374,271","8,435,845","33,962,973","3,503,076","633,538","2,293,168","15,011,730","500,571","439,989","8,651,368","76,806,529"
100,Framingham,2017,"10,869,368","28,506,451","130,695,481","13,022,840","1,782,097","6,426,336","46,156,382","7,222,871","85,740","13,259,066","258,026,632"
131,Hingham,2017,"4,487,623","13,220,784","48,446,275","5,836,910","892,103","2,939,482","13,416,435","892,397","8,655","9,400,967","99,541,631"
155,Lexington,2017,"16,584,803","13,748,600","96,338,172","7,612,352","1,340,167","3,626,219","31,106,214","850,915","635,384","15,168,663","187,011,489"
168,Marblehead,2017,"2,183,741","7,862,426","35,394,196","4,789,839","620,566","1,893,088","13,833,989","3,082,820",0,"6,823,406","76,484,071"
178,Melrose,2017,"3,617,288","9,659,485","29,426,847","9,187,104","1,456,907","1,507,272","17,753,256","3,384,580","1,466,395","5,519,046","82,978,180"
198,Natick,2017,"11,497,374","15,637,402","59,505,054","6,937,534","1,861,158","2,721,002","22,389,365","1,351,730",0,"10,071,148","131,971,767"
199,Needham,2017,"7,626,291","15,427,297","71,479,621","5,052,989","1,456,764","2,112,742","29,222,890","1,309,161","532,194","10,368,801","144,588,750"
284,Stoneham,2017,"2,488,551","7,682,309","28,021,544","2,094,158","564,323","1,323,091","14,735,928","1,501,525","220,676","4,554,046","63,186,151"
291,Swampscott,2017,"3,361,475","7,989,630","27,815,929","1,202,103","1,475,929","787,227","10,759,008","683,482",0,"4,322,646","58,397,429"
317,Wellesley,2017,"12,729,509","11,798,441","69,652,079","8,381,631","1,395,297","2,855,740","24,682,718","1,230,199","77,253","16,461,883","149,264,750"
344,Winchester,2017,"7,078,045","9,153,077","44,832,358","7,465,345","595,178","1,931,719","15,185,752","562,562","46,675","11,239,649","98,090,360"
010,Arlington,2016,"5,417,248","14,970,548","57,662,017","6,869,327","1,049,000","3,282,696","25,679,017","3,089,181","364,195","12,339,579","130,722,808"
046,Brookline,2016,"10,864,873","30,701,920","101,064,924","11,878,933","2,185,490","7,014,558","54,609,787","6,283,848",0,"9,276,014","233,880,347"
065,Cohasset,2016,"2,797,465","4,803,868","17,491,631","2,775,986","516,630","714,277","6,949,715","418,365",0,"3,917,254","40,385,191"
082,Duxbury,2016,"3,275,818","8,151,026","32,858,936","4,072,400","657,834","2,121,028","12,891,058","459,520",0,"8,813,562","73,301,182"
100,Framingham,2016,"16,820,737","28,082,338","125,261,258","11,977,759","1,506,006","6,460,125","47,283,095","6,570,346","67,829","10,857,196","254,886,689"
131,Hingham,2016,"4,317,441","12,672,064","46,758,607","5,995,086","875,799","1,781,707","12,854,735","858,212","4,990","9,918,041","96,036,682"
