municipality,population,dor_income_per_capita,eqv_per_capita,avg_sf_tax_bill,bill_pct_income,residential_tax_rate,residential_pct_of_levy,total_tax_levy,levy_per_capita,new_growth,new_growth_pct_of_levy,education_spending,education_pct_of_gf,total_assessed_value,free_cash,bond_rating_sp,land_area_sqmi
Sharon,18762,85745,282934,14353,16.7,17.48,92.85,88196233,4701,507681,0.58,52650265,58.1,5045551100,10779470,AA,23.44
Sheffield,3324,43068,287431,5809,13.5,12.11,86.36,10838240,3261,97136,0.9,8090970,57.8,894982651,2052626,,47.41
Shelburne,1874,28277,189813,5146,18.2,12.84,73.7,4785777,2554,137962,2.88,2968611,52.1,372724033,353986,,23.16
Sherborn,4485,352250,421076,20018,5.7,16.58,95.23,31164704,6949,242543,0.78,19170261,58.4,1879656434,3171938,AAA,15.79
Shirley,7042,40056,153924,6490,16.2,12.97,90.06,13980439,1985,91810,0.66,9687367,57.1,1077905886,518752,AA,15.82
Shrewsbury,39620,73712,231110,8753,11.9,12.04,89.15,111879562,2824,1384611,1.24,82910343,55.5,9292322461,12504686,AAA,20.74
Shutesbury,1717,36218,189539,6763,18.7,15.83,93.51,5688856,3313,121279,2.13,4003159,60.6,359416072,1067210,,26.51
Somerset,18375,40386,192236,6278,15.5,13.3,74.86,53453593,2909,556648,1.04,35433482,53.0,3516834537,7546496,,7.9
Somerville,82149,61870,325821,9376,15.2,10.91,66.66,264969749,3225,14139848,5.34,98431134,31.5,24506811636,26820999,AAA,4.12
South Hadley,18031,38042,133132,5639,14.8,13.98,91.69,34221083,1898,195994,0.57,24246655,47.3,2447860032,5119954,,17.71
Southampton,6181,50794,182880,6413,12.6,14.17,93.45,15450665,2500,206498,1.34,13398333,64.3,1090378603,413492,AA-,28.15
Southborough,10569,127127,359839,14230,11.2,13.81,84.11,52316824,4950,611898,1.17,32647186,54.6,3788329049,2536158,AAA,14.01
Southbridge,18106,25930,97550,5070,19.6,14.66,82.21,27390213,1513,255789,0.93,35444001,52.6,1868363811,3303021,AA-,20.25
Southwick,9277,47950,170009,6187,12.9,15.57,88.79,24754614,2668,148764,0.6,12940425,46.0,1589891740,4236350,,30.82
Spencer,12090,36226,145315,4671,12.9,11.74,88.94,20761235,1717,181958,0.88,11669437,47.7,1768418692,2051612,,32.85
Springfield,154888,20404,88691,4254,20.8,15.68,60.18,272088050,1757,6318491,2.32,495126795,57.8,13519351193,21275296,AA-,31.87
Sterling,8310,58549,221943,7535,12.9,12.88,88.96,23589819,2839,226641,0.96,14170348,50.6,1831507663,1195724,AA+,30.62
Stockbridge,1986,52892,660022,6284,11.9,7.09,90.77,9591650,4830,77945,0.81,3799767,28.4,1352842058,2505476,AA+,22.74
Stoneham,24550,58058,250782,8059,13.9,10.23,83.64,67767768,2760,744828,1.1,36050187,41.5,6112056859,12027022,AA+,6.02
Stoughton,29457,42818,213313,7157,16.7,12.38,70.99,87396504,2967,1705774,1.95,61465204,48.5,6245980512,12722449,AA,16.09
Stow,7335,86756,286885,14113,16.3,17.42,94.55,34789909,4743,379394,1.09,21730837,61.6,1997124497,3375066,AAA,17.32
Sturbridge,10097,55434,193868,7870,14.2,15.93,84.89,32567215,3225,355209,1.09,21894889,52.0,2044395154,5982485,AA+,37.23
Sudbury,19805,125429,383932,16625,13.3,14.64,90.37,109643754,5536,828244,0.76,74101542,64.7,7292687571,7271136,AAA,24.27
Sunderland,3628,36047,178850,5947,16.5,13.02,90.11,7617711,2100,50288,0.66,5793336,57.2,585077673,622500,,14.22
Sutton,9599,68076,251764,7247,10.6,12.02,85.56,29963424,3122,488834,1.63,22510358,58.0,2492797321,4353694,AA+,32.41
Swampscott,15658,76071,316902,11478,15.1,11.47,88.61,58385886,3729,400239,0.69,31517835,45.1,4824619335,3729668,AAA,3.02
Swansea,17537,42390,205437,5623,13.3,10.98,82.56,42226761,2408,508298,1.2,27723170,51.4,3599108326,12342651,AA+,22.68
Taunton,61936,32523,155407,5540,17.0,10.94,63.93,137185258,2215,2634538,1.92,118769740,47.0,10097695403,26798139,AA+,46.71
