dor_code,municipality,fiscal_year,taxes,service_charges,licenses_permits,federal_revenue,state_revenue,other_govt_revenue,special_assessments,fines,miscellaneous,other_financing,transfers,total_revenues
082,Duxbury,2021,"69,492,154","3,722,257","2,764,116","95,402","6,601,544",0,0,"39,529","202,921",0,"1,671,682","84,589,605"
100,Framingham,2021,"208,322,143","2,561,471","3,933,123","937,002","69,160,819","10,234",0,"296,510","2,219,016",0,"2,342,708","289,783,026"
131,Hingham,2021,"96,853,289","1,914,426","1,282,344","238,902","11,503,563",0,"97,293","26,629","1,785,840","357,009","735,470","114,794,765"
155,Lexington,2021,"212,956,083","3,062,485","3,542,914","287,285","16,189,262","10,260","25,644","59,178","1,083,249",0,"10,039,652","247,256,012"
168,Marblehead,2021,"75,448,342","1,012,555","1,037,062","78,771","7,497,076","2,477",0,"47,929","290,264","249,929","1,025,603","86,690,008"
178,Melrose,2021,"74,001,686","282,122","4,306,949",0,"15,312,730",0,"4,655","104,706","100,216",0,"5,565,399","99,678,463"
198,Natick,2021,"132,457,936","2,919,915","2,268,209","100,000","14,524,987","42,831","2,131","38,610","1,654,311","355,000","6,019,182","160,383,112"
199,Needham,2021,"168,073,020","4,824,355","2,465,528","2,319","13,633,274",688,363,"26,922","824,952",0,"3,074,433","192,925,854"
284,Stoneham,2021,"58,023,021","1,414,352","1,153,360",0,"10,941,917","17,946",0,"12,920","65,579",0,"1,868,565","73,497,660"
291,Swampscott,2021,"53,127,703","433,978","629,856",0,"6,051,804",0,0,"51,043","74,546",0,"1,313,296","61,682,226"
317,Wellesley,2021,"156,569,698","950,200","3,840,784",0,"10,669,857",0,0,"302,411","859,001",0,"2,239,810","175,431,761"
344,Winchester,2021,"110,819,543","3,278,861","1,758,752",0,"11,917,714",0,0,"37,420","173,669",0,"8,254,904","136,240,863"
010,Arlington,2020,"138,085,529","337,720","3,245,778",0,"23,162,298","16,879","5,976","219,344","1,117,276","2,962,558","6,419,450","175,572,808"
046,Brookline,2020,"248,561,471","11,792,532","6,891,425",0,"22,622,133",0,0,"2,497,771","1,974,417",0,"3,188,731","297,528,480"
065,Cohasset,2020,"42,149,023","992,364","822,785","48,100","3,433,686",75,"346,829","31,389","284,450",0,"815,414","48,924,115"
082,Duxbury,2020,"67,274,444","3,633,325","1,661,360","326,146","6,636,718",0,0,"39,511","679,456",0,"1,179,516","81,430,476"
100,Framingham,2020,"207,720,195","2,869,731","3,518,913","1,111,063","64,805,777","13,163",0,"349,252","1,479,090",0,"4,270,492","286,137,676"
131,Hingham,2020,"91,799,535","2,252,764","972,148","314,189","11,320,489",0,"157,897","51,193","1,009,641","63,762","805,618","108,747,236"
155,Lexington,2020,"202,912,818","3,389,796","3,021,668","281,600","16,211,910","18,469","19,781","151,087","1,817,302",0,"9,579,896","237,404,327"
168,Marblehead,2020,"73,942,070","968,059","698,671","79,125","8,336,075","4,313",0,"106,712","623,384",0,"1,081,795","85,840,204"
178,Melrose,2020,"70,133,790","349,491","4,838,049",0,"15,335,741",0,"7,535","131,076","239,703","7,631,000","5,917,312","104,583,697"
198,Natick,2020,"128,724,690","3,448,122","2,247,373",0,"14,601,723",0,"2,019","163,598","2,225,544",0,"5,253,839","156,666,908"
199,Needham,2020,"158,079,304","4,110,109","2,668,874","67,188","13,096,407","1,723",914,"186,452","1,246,911",0,"3,522,835","182,980,717"
284,Stoneham,2020,"56,087,332","1,271,859","1,004,323","105,330","11,099,162","29,888",0,"25,151","80,853",0,"2,044,756","71,748,654"
291,Swampscott,2020,"51,137,215","563,835","702,368",0,"6,068,729","1,652,389",0,"81,195","1,097,142",0,"895,388","62,198,261"
317,Wellesley,2020,"150,526,685","907,306","2,043,985",0,"10,700,798",0,0,"452,093","2,104,214",0,"2,239,269","168,974,350"
344,Winchester,2020,"104,345,648","2,821,919","1,559,578",740,"11,728,765",0,0,"106,767","335,380",0,"9,027,984","129,926,781"
010,Arlington,2019,"129,432,343","504,944","3,453,632",0,"20,821,979","16,933","4,639","376,130","975,845","5,495,000","7,806,987","168,888,432"
046,Brookline,2019,"236,475,321","11,877,491","5,708,077",0,"22,075,065",0,0,"3,413,309","2,695,349",0,"3,042,626","285,287,238"
